SA2_CODE,Suburb_Name,State,Total_Population,Commercial_Opportunity_Score,Demand_Gap_Index,Is_Emerging_Cluster
206071517,Richmond (South) - Cremorne,VIC,17671,58.73,49.08,False
118011345,Paddington - Moore Park,NSW,14793,53.44,46.3,True
801061131,Kingston (ACT),ACT,6579,52.89,35.06,True
121031408,Lindfield - Roseville,NSW,24599,52.68,46.94,False
117021327,Petersham - Stanmore,NSW,19898,52.1,40.14,False
120021675,Leichhardt,NSW,17532,51.2,46.58,False
117031640,Newtown (NSW),NSW,14667,50.99,42.78,False
120021387,Balmain,NSW,15579,50.85,44.96,False
208011169,Brighton (Vic.),VIC,22758,50.84,49.13,False
122011418,Balgowlah - Clontarf - Seaforth,NSW,20732,50.39,49.55,False
207011149,Camberwell,VIC,21232,49.71,49.96,False
208021174,Bentleigh - McKinnon,VIC,24896,49.14,47.0,False
208041195,Malvern East,VIC,21923,48.99,46.59,False
207011150,Glen Iris - East,VIC,16829,48.96,50.79,False
126011496,Pennant Hills - Cheltenham,NSW,21737,48.85,49.92,False
206071143,Fitzroy North,VIC,12781,48.81,44.09,False
206021499,Northcote - East,VIC,15068,48.78,46.54,False
120021389,Lilyfield - Rozelle,NSW,13824,48.66,43.59,False
213021344,Newport,VIC,18753,48.64,48.89,False
206021112,Thornbury,VIC,18919,48.43,44.22,False
